lo_code,lo_name
L304,"Reads small texts with comprehension i.e., identifies main ideas, details,sequence and draws conclusions"
L312,"Reads printed scripts on the classroom walls: poems, posters, charts etc."
M301,Reads and writes numbers up to 999 using place value
M302,Compares numbers up to 999 based on their place values
M303,Solves simple daily life problems using addition and subtraction of three digit numbers with and without regrouping
M304,Constructs and uses the multiplication facts (up till 10) in daily life situations
M305,Analyses and applies an appropriate number operation in the situation/ context
M306,Explains the meaning of division facts by equal grouping/sharing and finds it by repeated subtraction
M309,"Identifies and makes 2D-shapes by paper folding. paper cutting on the dot grid, using straight lines etc."
M311,Fills a given region leaving no gaps using a tile of a given shape
M312,Estimates and measures length and distance using standard units like centimeters or meters & identifies relationships
M317,Reads the time correctly to the hour using a clock/watch
M318,Extends patterns in simple shapes and numbers
M319,"Records data using tally marks, represents pictorially and draws"
EVS302,"Identifies simple features (e.g. movement, at places found/ kept, eating habits, sounds) of animals and birds in the immediate surroundings."
EVS303,Identifies relationships with and among family members
EVS304,"Identifies objects, signs (vessels, stoves, transport, means of communication, transport, signboards etc.), places (types of houses/shelters, bus stand, petrol pump etc.) activities (works people do, cooking processes, etc.) at home/school/ neighborhoods"
EVS305,"Describes need of food for people of different age groups, animals/birds, availability of food and water and use of water at home and surroundings."
EVS307,"Groups objects, birds, animals, features, activities according to differences/ similarities using different senses. (e.g. appearance/place of living/ food/ movement/ likes-dislikes/ any other features)"
EVS309,"Identifies directions, location of objects/places in simple maps using signs/symbols/ verbally"
EVS310,"Guesses properties, estimates quantities of materials/activities in daily life and verifies using symbols/non-standard units"
EVS311,"Records observations, experiences, information on objects/activities/places visited in different ways and predicts patterns etc"
EVS313,"Observes rules in games (local, indoor, outdoor)"
EVS314,"Voices opinion on good/bad touch , stereotypes for tasks/play/food in family w.r.t gender, misuse/wastage of food and water in family and school."
L508,"Reads text with comprehension, locates details and sequence of events"
M401,Applies operations of numbers in daily life situations
M412,"Explores the area and perimeter of simple geometrical shapes (triangle, rectangle, square) in terms of given shape as a unit"
M418,Calculates time intervals/duration of familiar daily life events by using forward or backward counting/addition and subtraction
M421,Represent the collected information in tables and bar graphs and draws inferences from these
M501,Reads and writes numbers bigger than 1000 being used in her/his surroundings
M504,"Estimates sum, difference, product and quotient of numbers and verifies the same using different strategies like using standard algorithms or breaking a number and then using operation"
M505,Finds the number corresponding to part of a collection
M506,Identifies and forms equivalent fractions of a given fraction
M508,Converts fractions into decimals and vice versa
M509,"Classifies angles into right angle, acute angle, obtuse angle and represents the same by drawing and tracing"
M512,"Relates different commonly used larger and smaller units of length, weight and volume and converts larger units to smaller units and vice versa"
M513,Estimates the volume of a solid body in known units.
M514,"Applies the four fundamental arithmetic operations in solving problems involving money, length, mass, capacity and time intervals"
M515,Identifies the pattern in triangular numbers and square number
M516,Collects data related to various daily life situations. represents it in tabular form and as bar graphs and interprets it
EVS403,Identifies relationship with and among family members in extended family
EVS410,"Records observations/experiences/information for objects, activities, phenomena, places visited in different ways and predicts patterns and activities/ phenomena"
EVS501,"Explains the super senses and unusual features (sight, smell, hear, sleep, sound, etc.) of animals and their responses to light, sound, food etc."
EVS503,"Describes the interdependence among animals, plants and humans"
EVS504,"Explains the role and functions of different institutions in daily life (Bank, Panchayat, cooperatives. police station, etc.)"
