date,cluster_id,block_id,district_id,academicyear,meeting_conducted
02/01/23,101010111,10101,101,2023-24,1
02/01/23,101010112,10101,101,2023-24,0
02/01/23,101010113,10101,101,2023-24,1
02/01/23,101010114,10101,101,2023-24,0
02/01/23,101010115,10101,101,2023-24,1
02/01/23,101020111,10102,101,2023-24,0
02/01/23,101020112,10102,101,2023-24,1
02/01/23,101020113,10102,101,2023-24,0
02/01/23,101020114,10102,101,2023-24,1
02/01/23,101020115,10102,101,2023-24,0
02/01/23,101030111,10103,101,2023-24,1
02/01/23,101030112,10103,101,2023-24,0
02/01/23,101030113,10103,101,2023-24,1
02/01/23,101030114,10103,101,2023-24,0
02/01/23,101030115,10103,101,2023-24,1
02/01/23,101040111,10104,101,2023-24,0
02/01/23,101040112,10104,101,2023-24,1
02/01/23,101040113,10104,101,2023-24,0
02/01/23,101040114,10104,101,2023-24,1
02/01/23,101040115,10104,101,2023-24,0
02/01/23,101050111,10105,101,2023-24,1
02/01/23,101050112,10105,101,2023-24,0
02/01/23,101050113,10105,101,2023-24,1
02/01/23,101050114,10105,101,2023-24,0
02/01/23,101050115,10105,101,2023-24,1
02/01/23,102010111,10201,102,2023-24,0
02/01/23,102010112,10201,102,2023-24,1
02/01/23,102010113,10201,102,2023-24,0
02/01/23,102010114,10201,102,2023-24,1
02/01/23,102010115,10201,102,2023-24,0
02/01/23,102020111,10202,102,2023-24,1
02/01/23,102020112,10202,102,2023-24,0
02/01/23,102020113,10202,102,2023-24,1
02/01/23,102020114,10202,102,2023-24,1
02/01/23,102020115,10202,102,2023-24,1
02/01/23,102030111,10203,102,2023-24,1
02/01/23,102030112,10203,102,2023-24,1
02/01/23,102030113,10203,102,2023-24,1
02/01/23,102030114,10203,102,2023-24,1
02/01/23,102030115,10203,102,2023-24,1
02/01/23,102040111,10204,102,2023-24,1
02/01/23,102040112,10204,102,2023-24,1
02/01/23,102040113,10204,102,2023-24,1
02/01/23,102040114,10204,102,2023-24,1
02/01/23,102040115,10204,102,2023-24,1
02/01/23,102050111,10205,102,2023-24,1
02/01/23,102050112,10205,102,2023-24,1
02/01/23,102050113,10205,102,2023-24,1
02/01/23,102050114,10205,102,2023-24,1
02/01/23,102050115,10205,102,2023-24,1
02/01/23,201010111,20101,201,2023-24,1
02/01/23,201010112,20101,201,2023-24,1
02/01/23,201010113,20101,201,2023-24,0
02/01/23,201010114,20101,201,2023-24,0
02/01/23,201010115,20101,201,2023-24,0
02/01/23,201020111,20102,201,2023-24,0
02/01/23,201020112,20102,201,2023-24,0
02/01/23,201020113,20102,201,2023-24,0
02/01/23,201020114,20102,201,2023-24,0
02/01/23,201020115,20102,201,2023-24,0
02/01/23,201030111,20103,201,2023-24,0
02/01/23,201030112,20103,201,2023-24,0
02/01/23,201030113,20103,201,2023-24,0
02/01/23,201030114,20103,201,2023-24,0
